t,x,y,z
0.0,30.0,10.0,10.0
0.25,27.799581112654867,9.992772763776907,9.99643931835445
0.5,25.754736540682668,9.970744148232667,9.980181690002583
0.75,23.85031806609184,9.933424585832523,9.948982417653161
1.0,22.073917148532498,9.880377140364807,9.902240135203769
1.25,20.415314697306037,9.811233194288137,9.83954648196533
1.5,18.866052279777758,9.72570961058931,9.760582455380554
1.75,17.41908195974778,9.623627028298955,9.665126312474754
2.0,16.06847450831137,9.504928706293315,9.5530715415998
2.25,14.809172533496564,9.36969909531898,9.424445368525667
2.5,13.636779450205871,9.21818108638107,9.27942672491563
2.75,12.547378474377961,9.050790685406216,9.118361891174258
3.0,11.53737829833109,8.868127740843416,8.941776943889689
3.25,10.603383865832269,8.670981347947777,8.750385287165601
3.5,9.742091777599592,8.460328710072194,8.54508919030981
3.75,8.950210325570302,8.237326575004351,8.326974224199551
4.0,8.224404028852181,8.00329487532671,8.097295984930792
4.25,7.561261919688645,7.759692841638858,7.857459194835063
4.5,6.957287863476723,7.508088547086518,7.608989844546318
4.75,6.40891010700028,7.2501234792462155,7.3535015861775275
5.0,5.9125062667873705,6.987474218014118,7.09265859686337
5.25,5.464439287282436,6.7218135461312505,6.828136604539447
5.5,5.061099663223965,6.454773295484353,6.561585263425934
5.75,4.698949438612225,6.187910952227979,6.294592928768754
6.0,4.374564138692161,5.922681566747808,6.028656522539067
6.25,4.084669696279587,5.660415928997224,5.765157193600578
6.5,3.826172464904588,5.40230536949549,5.505342399132305
6.75,3.5961814076300342,5.149393011192777,5.250314662509337
7.0,3.392022398048381,4.902570880643345,5.001026384480228
7.25,3.2112452109508673,4.662582011361209,4.758279943087464
7.5,3.051624195492644,4.430026534604789,4.522732228233514
7.75,2.911153832853437,4.205370731804991,4.29490264311564
8.0,2.788040423252438,3.988958088117368,4.075183295543299
8.25,2.6806910781426145,3.7810215064629413,3.8638507985984436
8.5,2.587701048511871,3.5816959882152215,3.661078804462053
8.75,2.507840244636055,3.391031238838027,3.4669506501671328
9.0,2.440039621150713,3.2090037997003478,3.28147168269961
9.25,2.383377931736928,3.0355284324954015,3.104580950258516
9.5,2.3370692100853803,2.870468586454319,2.9361620428327875
9.75,2.3004512121429914,2.7136458604902254,2.77605295853326
10.0,2.2729749588444372,2.5648484342143125,2.6240549476808077
10.25,2.2541954461656157,2.4238384861729836,2.47994033618324
10.5,2.243763536834718,2.290358647772557,2.3434593483957036
10.75,2.241419012402906,2.1641375602167168,2.2143460214018558
11.0,2.246984740806742,2.044894612111687,2.0923232803450604
11.25,2.260361900656341,1.9323439394911273,1.9771072531959633
11.5,2.28152619506138,1.8261977697458789,1.868410796514906
11.75,2.3105249900899594,1.7261691877378063,1.7659465752224175
12.0,2.3474753064530227,1.6319743974098897,1.669429450477721
12.25,2.3925626036876873,1.5433345461625716,1.5785785574262432
12.5,2.446040290146474,1.4599771728683952,1.4931188207197699
12.75,2.5082299046717975,1.3816373338841395,1.4127822622476005
13.0,2.5795219100693303,1.308058455202689,1.337308936982439
13.25,2.660377044995115,1.2389929529980552,1.2664476406956235
13.5,2.7513281796763973,1.1742026594262807,1.1999564318287697
13.75,2.852982617678851,1.1134590856632904,1.1376029453398449
14.0,2.966024784617666,1.0565435497836189,1.079164571954625
14.25,3.091219238623612,1.0032471932166744,1.0244285340640573
14.5,3.229413927114384,0.9533709061236346,0.9731918231681619
14.75,3.381543608498053,0.9067251790630076,0.9252610973471718
15.0,3.5486333399525343,0.8631298957538962,0.8804524971409418
15.25,3.7318019181230713,0.8224140795254175,0.838591398855672
15.5,3.932265142407095,0.7844156041366767,0.7995121488770226
15.75,4.151338745812777,0.7489808780320834,0.7630577562292434
16.0,4.39044081545946,0.7159645097093221,0.729079562203155
16.25,4.651093497714301,0.6852289607018155,0.6974369024157564
16.5,4.934923751672299,0.6566441916824319,0.6679967512554277
16.75,5.243662885504758,0.6300873063454807,0.6406333700149373
17.0,5.579144575937046,0.6054421970053547,0.6152279495133741
17.25,5.943301040997931,0.582599195229301,0.591668259019069
17.5,6.338157005928977,0.5614547302860182,0.5698483027469532
17.75,6.765821076336229,0.5419109977197009,0.5496679816844573
18.0,7.22847411606261,0.5238756399344886,0.5310327721773371
18.25,7.728354217078873,0.5072614402896248,0.5138534131555776
18.5,8.267737856602977,0.4919860318450026,0.4980456084895811
18.75,8.848916861112398,0.4779716215591424,0.4835297461430945
19.0,9.47417084428134,0.46514473042179943,0.47023063120005915
19.25,10.145734863391999,0.4534359496998473,0.4580772364012237
19.5,10.865762146846023,0.44277971319230264,0.44700246646325253
19.75,11.636281893850779,0.4331140851292348,0.43694294165916536
20.0,12.459152330856874,0.4243805631186298,0.4278387935758329
20.25,13.3360094385192,0.4165238953459756,0.4196334769575522
20.5,14.268212026538077,0.4094919110723232,0.4122735948505029
20.75,15.256784131876014,0.4032353633588803,0.40570873683776654
21.0,16.30235603454479,0.3977077828730705,0.399891327772843
21.25,17.405105512580818,0.3928653416011692,0.3947764882236533
21.5,18.56470126850467,0.38866672530496205,0.39032190376677245
21.75,19.78025073178189,0.3850730136087802,0.3864877001726065
22.0,21.050254650647698,0.38204756668229034,0.383236330643292
22.25,22.37257098337775,0.3795559175894317,0.3805324621649484
22.5,23.74439059024106,0.3775656694909358,0.37834287487539814
22.75,25.162227037454844,0.3760463970178725,0.3766363575419447
23.0,26.621922501051976,0.3749695512595787,0.375383615442665
23.25,28.118671226490033,0.3743083679355872,0.3745571731965298
23.5,29.64706134885359,0.37403777843243047,0.3741312876925425
23.75,31.201135060952986,0.37413432348872766,0.3740818593313202
24.0,32.77446624346875,0.37457606939572785,0.3743863469023348
24.25,34.360253761047254,0.3753425266495833,0.375023687380677
24.5,35.95142775576007,0.3764145710448442,0.3759742128064864
24.75,37.54076553568452,0.37777436723485036,0.3772195752417255
25.0,39.12101306944583,0.37940529480985763,0.3787426714844542
25.25,40.6850077659033,0.38129187695516104,0.3805275699415185
25.5,42.225798138620746,0.383419711754127,0.38255944079795834
25.75,43.736756145424025,0.3857754061960597,0.38482449103486605
26.0,45.21167842440921,0.3883465129388123,0.3873098971248143
26.25,46.644873318121306,0.3911214698607354,0.3900037448167021
26.5,48.031231367595645,0.39408954242088046,0.39289497088819286
26.75,49.36627785239112,0.3972407688285842,0.3959733054101285
27.0,50.64620687229392,0.4005659080054498,0.39922922359495777
27.25,51.86789729017805,0.4040563903074569,0.4026538908068047
27.5,53.02891163148547,0.4077042709583003,0.4062391055656844
27.75,54.12747968879413,0.4115021861297244,0.40997727643319626
28.0,55.16246891475554,0.415443311597179,0.4138613894393506
28.25,56.13334387326376,0.4195213238920382,0.41788486881381176
28.5,57.04011781023506,0.42373036383803114,0.4220417147844464
28.75,57.883297979432186,0.4280650024065016,0.4263263163983674
29.0,58.66382782153474,0.43252020875943437,0.43073348120228105
29.25,59.38302770772728,0.43709132039037096,0.4352584074730052
29.5,60.04253608848797,0.44177401525587306,0.43989662643486127
29.75,60.644252677147506,0.4465642857864499,0.4446440122895201
30.0,61.19028465588121,0.45145841467835524,0.44949674302814835
30.25,61.6828967981895,0.45645295236147126,0.4544512438196731
30.5,62.12446623964619,0.461544696037143,0.4595042241402789
30.75,62.51744192595309,0.4667306701987009,0.4646526170627755
31.0,62.864309074888865,0.4720081085329289,0.46989357440839674
31.25,63.167558476908816,0.4773744371166471,0.4752244416854094
31.5,63.42966051223114,0.48282725882026467,0.48064275894465647
31.75,63.65304349018162,0.48836433884063674,0.4861462145820246
32.0,63.84007615013833,0.4939835912793751,0.49173267783819163
32.25,63.993053680519026,0.4996830667028349,0.49740013662593846
32.5,64.11418712216714,0.5054609406055515,0.5031467203764195
32.75,64.2055955562405,0.5113155027196963,0.5089706734946223
33.0,64.26930078452683,0.5172451471066275,0.5148703432425202
33.25,64.30722414502756,0.52324836297356,0.5208441880243322
33.5,64.3211850387916,0.5293237261656657,0.5268907462007729
33.75,64.31290096318224,0.535469891280522,0.5330086351139279
34.0,64.28398865903993,0.5416855843635167,0.5391964971662894
34.25,64.2359667711081,0.5479695961158096,0.5454533545351544
34.5,64.1702574381972,0.5543207756702133,0.551777660920262
34.75,64.0881914459207,0.5607380247056276,0.5581685222076718
35.0,63.991010875993794,0.567220292102002,0.5646248228544791
35.25,63.87987366727844,0.5737665689229395,0.5711455346334041
35.5,63.75585785177435,0.5803758837814467,0.5777296732125379
35.75,63.61996590656452,0.5870472985407921,0.5843762830744069
36.0,63.47312914030964,0.5937799043257158,0.5910844450245456
36.25,63.31621201302263,0.6005728178227507,0.5978532730989135
36.5,63.150016329285656,0.607425177849107,0.6046818877541319
36.75,62.97528537077563,0.614336142165942,0.6115694430125265
37.0,62.792707816431964,0.6213048845235178,0.6185151092932284
37.25,62.60292147066004,0.6283305919199884,0.6255180391604395
37.5,62.40651700809262,0.6354124620476881,0.6325774970818309
37.75,62.20404106613152,0.642549700944639,0.6396926113128835
38.0,61.9959997730903,0.6497415207855248,0.6468626410858358
38.25,61.78286149334752,0.6569871378592828,0.654086756460976
38.5,61.56505987417207,0.6642857706690056,0.6613642285040571
38.75,61.34299625057143,0.6716366381915518,0.6686942312699918
39.0,61.117042288718,0.6790389582428992,0.6760759997577578
39.25,60.887542187915976,0.6864919459758737,0.6835087559352787
39.5,60.65481477359344,0.6939948124858554,0.6909916779637755
39.75,60.41915563552745,0.7015467635084219,0.6985240520988739
40.0,60.18083865791589,0.7091469982394282,0.7061050026170176
40.25,59.94011800117692,0.716794708212247,0.7137337599196515
40.5,59.697229482433414,0.7244890762863744,0.7214094948310774
40.75,59.4523920987236,0.7322292757003822,0.729131396211193
41.0,59.20580930560752,0.7400144692072473,0.736898623801104
41.25,58.95767026321724,0.7478438082756431,0.7447103289608095
41.5,58.70815099408615,0.7557164323566695,0.7525656862093641
41.75,58.45741530498935,0.7636314682224692,0.7604637765792421
42.0,58.20561595155763,0.7715880293427436,0.7684038019023185
42.25,57.952895136219254,0.77958521535612,0.7763846919826434
42.5,57.69938599163082,0.787622111523494,0.7844058137206138
42.75,57.44521237454591,0.7956977883421088,0.7924659726633884
43.0,57.19049051577911,0.803811301076213,0.8005644427302746
43.25,56.93532880341165,0.8119616894592164,0.8087000597610253
43.5,56.67982914654255,0.8201479773238156,0.8168720869091148
43.75,56.424086689340186,0.8283691723898933,0.8250793118975102
44.0,56.168191088382194,0.8366242659742359,0.833320939132587
